EventID,EventName,EventType,Department,DayOfWeek,Season,TimeOfDay,VenueCapacity,Attendance,AttendanceLevel,FeedbackScore,EngagementIndex
441,Event_441,Workshop,Management,Monday,Monsoon,Afternoon,460,362,High,4.0,3.069565217
521,Event_521,Seminar,ECE,Monday,Summer,Evening,370,138,Low,4.0,1.143243243
301,Event_301,Hackathon,Civil,Saturday,Summer,Morning,329,123,Low,5.0,1.914893617
264,Event_264,Workshop,Management,Monday,Winter,Evening,286,68,Low,4.0,0.951048951
201,Event_201,Cultural,Mechanical,Friday,Winter,Evening,450,286,Medium,2.0,1.886666667
108,Event_108,Seminar,Mechanical,Thursday,Summer,Morning,282,206,High,3.0,2.978723404
411,Event_411,Cultural,CSE,Saturday,Monsoon,Evening,230,79,Low,4.0,1.043478261
496,Event_496,Workshop,CSE,Saturday,Summer,Afternoon,407,80,Low,5.0,0.995085995
479,Event_479,Hackathon,Management,Saturday,Summer,Evening,321,282,High,1.0,0.903426791
70,Event_70,Seminar,CSE,Saturday,Summer,Afternoon,339,80,Low,2.0,0.619469027
133,Event_133,Seminar,ECE,Thursday,Summer,Morning,227,129,Medium,5.0,2.841409692
491,Event_491,Workshop,,Friday,Summer,Morning,406,95,Low,2.0,0.679802956
587,Event_587,Seminar,Mechanical,Wednesday,Winter,Morning,398,185,Medium,2.0,1.349246231
356,Event_356,Sports,Mechanical,Thursday,Winter,Morning,257,186,High,4.0,3.754863813
112,Event_112,Sports,ECE,Saturday,Winter,Afternoon,70,67,High,4.0,2.528571429
594,Event_594,Cultural,ECE,Wednesday,Summer,Afternoon,306,130,Medium,5.0,2.107843137
139,Event_139,Cultural,Mechanical,Thursday,Monsoon,Morning,71,66,High,3.0,3.154929577
293,Event_293,Workshop,Civil,Monday,Summer,Evening,93,94,High,1.0,0.989247312
476,Event_476,Hackathon,CSE,Monday,Winter,Afternoon,205,39,Low,2.0,0.629268293
386,Event_386,Workshop,CSE,Tuesday,Summer,Evening,153,39,Low,2.0,0.588235294
382,Event_382,Hackathon,Mechanical,Friday,Summer,Morning,477,474,High,5.0,3.924528302
548,Event_548,Cultural,ECE,Monday,Summer,Afternoon,481,286,Medium,4.0,2.952182952
237,Event_237,Workshop,CSE,Saturday,Winter,Evening,77,66,High,2.0,1.766233766
102,Event_102,Workshop,Mechanical,Wednesday,Winter,Morning,270,75,Low,5.0,1.388888889
5,Event_5,Hackathon,CSE,Monday,Winter,Morning,263,117,Medium,4.0,1.764258555
511,Event_511,Sports,Management,Tuesday,Monsoon,Morning,385,253,Medium,3.0,1.366233766
626,Event_626,Cultural,Mechanical,Thursday,Winter,Morning,452,159,Low,2.0,0.703539823
622,Event_622,Cultural,Mechanical,Monday,Summer,Afternoon,148,114,High,3.0,2.891891892
481,Event_481,Workshop,ECE,Tuesday,Monsoon,Evening,404,274,Medium,2.0,0.675742574
137,Event_137,Seminar,ECE,Thursday,Monsoon,Afternoon,457,331,High,4.0,2.853391685
160,Event_160,Sports,Mechanical,Thursday,Monsoon,Afternoon,290,108,Low,1.0,0.682758621
562,Event_562,Workshop,CSE,Monday,Monsoon,Afternoon,297,194,Medium,2.0,1.306397306
139,Event_139,Cultural,Mechanical,Thursday,Monsoon,Morning,71,65,High,3.0,3.154929577
387,Event_387,Cultural,ECE,Friday,Winter,Morning,442,422,High,4.0,3.755656109
288,Event_288,Hackathon,Civil,Wednesday,Monsoon,Morning,98,44,Medium,5.0,2.602040816
288,Event_288,Hackathon,Civil,Wednesday,Monsoon,Morning,98,56,Medium,5.0,2.602040816
518,Event_518,Hackathon,ECE,Tuesday,Winter,Morning,57,55,High,1.0,1.719298246
478,Event_478,Workshop,CSE,Wednesday,Winter,Evening,218,165,High,4.0,2.862385321
